Name,Start date of trip,Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accomodation/Meals,Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (œ)",Total Cost of Use of Official Secure Car,Booked through
"Montgomery, Sir Charles Percival",27/07/2015,,HEATHROW TERM 5,EXTERNAL MEETING,Rail,Standard,,,21.84,,Redfern
"Montgomery, Sir Charles Percival",27/07/2015,,Rome Leonardo,EXTERNAL MEETING,Air Tickets,Economy,,,248.45,,Redfern
"Otter, Mr. Stephen Anthony",27/07/2015,,London Paddington,INTERNAL MEETING,Rail,Standard,,,7.89,,Redfern
"Arnott, Dr. Robert Henry",28/07/2015,,,2MS to FCO (FRA mtg),Taxis,,,,4.50,,
"Arnott, Dr. Robert Henry",28/07/2015,,,FCO to RAH (FRA),Taxis,,,,14.00,,
"Beecroft, Mr. Martin Richard",28/07/2015,,,Visit to Croydon,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,6.30,,
"Duffy, Mr. Philip",28/07/2015,,,CI port refresher training,T&S - Hotels,,,,17.50,,
"Duffy, Mr. Philip",28/07/2015,,,contactles travel for port visit ( travel cardaccross london),"T&S - Planes, Trains and Automobiles",,,,6.40,,
"Martin, Mr. Ian Richard",28/07/2015,,Liverpool Lime Street,INTERNAL MEETING,Rail,Standard,,,62.53,,Redfern
"Montgomery, Sir Charles Percival",28/07/2015,,,Dinner in Taranto on 28.07.15 during work visit to Italy to see cutters.,"T&S - Planes, Trains and Automobiles",,,,9.19,,
"Montgomery, Sir Charles Percival",28/07/2015,,,Hotel stay in Rome on 27.07.15 during work visit,T&S - Hotels,,,,106.80,,
"Montgomery, Sir Charles Percival",28/07/2015,,Bari,EXTERNAL MEETING,Air Tickets,Economy,,,100.86,,Redfern
"Sedwill, Mr. Mark",28/07/2015,,,Travel home from dinner with Home Secretary & French Interior Minister,Taxis,,,,24.42,,
"Arnott, Dr. Robert Henry",29/07/2015,,,V late work,Taxis,,,,24.08,,
"Cunningham, Mr. Michael Bernard",29/07/2015,,London Euston,INTERNAL MEETING,Rail,Standard,,,334.63,,Redfern
"Cunningham, Mr. Michael Bernard",29/07/2015,,London Heathrow,INTERNAL MEETING,,,Hotel Standard- One- Queen Size,,126.47,,Redfern
"Eastaugh, Mr. Tony",29/07/2015,,London,INTERNAL MEETING,,,Hotel Room,,1.42,,Redfern
"Eastaugh, Mr. Tony",29/07/2015,,London Heathrow,INTERNAL MEETING,,,Hotel Room,,117.10,,Redfern
"Foy, Mr. Timothy John",29/07/2015,,Belfast City,EXTERNAL MEETING,Air Tickets,Economy,,,173.67,,Redfern
"Martin, Mr. Ian Richard",29/07/2015,,ZONE U12* LONDN,INTERNAL MEETING,Rail,Standard,,,38.67,,Redfern
"Montgomery, Sir Charles Percival",29/07/2015,,,Dinner in Rome Airport (22 Euro priced meal) on 29.07.15 whilst plane was heavily delayed to Sicily during work visit to Cutters,"T&S - Planes, Trains and Automobiles",,,,15.75,,
"Montgomery, Sir Charles Percival",29/07/2015,,,"Hotel in Taranto, Italy during work visit",T&S - Hotels,,,,54.65,,
"Montgomery, Sir Charles Percival",29/07/2015,,,"Lunch in Bari Airport, Italy during work visit",T&S - Subsistence,,,,12.40,,
"Montgomery, Sir Charles Percival",29/07/2015,,Catania,EXTERNAL MEETING,,,Hotel (Foreign) Standard,,91.49,,Redfern
"Montgomery, Sir Charles Percival",29/07/2015,,,EXTERNAL MEETING,,,Hotel Fee ,,0.71,,Redfern
"Oppenheim, Mr. Jeremy",29/07/2015,,,EXTERNAL MEETING,,,Hotel Fee ,,1.41,,Redfern
"Eastaugh, Mr. Tony",30/07/2015,,Solihull,INTERNAL MEETING,Rail,Standard,,,6.75,,Redfern
"Eastaugh, Mr. Tony",30/07/2015,,,INTERNAL MEETING,,,Hotel Fee ,,1.41,,Redfern
"Montgomery, Sir Charles Percival",30/07/2015,,,Tea and coffee for DG at Rome Airport during work visit to Cutters,"T&S - Planes, Trains and Automobiles",,,,2.36,,
"Montgomery, Sir Charles Percival",30/07/2015,,London Gatwick,EXTERNAL MEETING,Air Tickets,Economy,,,254.02,,Redfern
"Montgomery, Sir Charles Percival",30/07/2015,,London Victoria,EXTERNAL MEETING,Rail,Standard,,,6.76,,Redfern
"Montgomery, Sir Charles Percival",30/07/2015,,Rome Leonardo,EXTERNAL MEETING,Air Tickets,Economy,,,307.90,,Redfern
"Montgomery, Sir Charles Percival",30/07/2015,,,EXTERNAL MEETING,Other Fee,,,,6.23,,Redfern
"O'brien, Mr. John",30/07/2015,,,Liverpool carrying bulky items,T&S - Employee Reimbursed Mileage,,,,90.40,,
"O'brien, Mr. John",30/07/2015,,Liverpool,EXTERNAL MEETING,,,Hotel Room,,69.82,,Redfern
"Sedwill, Mr. Mark",30/07/2015,,,working dinner in Calais (for 8),"Canteens, Lunches, Vending",,,,222.34,,
"Wood, Mr. David Leonard",30/07/2015,,,Meeting with KPMG at Canada Water,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,2.40,,
"O'brien, Mr. John",30/07/2015,,,Evening meal actual spend 41.00 Claim for œ 26.00,T&S - Subsistence,,,,35.30,,
"Arnott, Dr. Robert Henry",31/07/2015,,,Calais Joint Dec,T&S - Overseas Expenses,Standard/Economy,,,184.00,,
"Arnott, Dr. Robert Henry",31/07/2015,,,Calais Joint Dec,T&S - Subsistence,,,,10.83,,
"Arnott, Dr. Robert Henry",31/07/2015,,,Calais Joint Dec,T&S - Overseas Expenses,,,,80.55,,
"Arnott, Dr. Robert Henry",31/07/2015,,,Calais Joint Dec,T&S - Overseas Expenses,,,,176.92,,
"Arnott, Dr. Robert Henry",31/07/2015,,,Calais JD - PUS visit,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,3.45,,
"Campbell, Ms. Mandie Jane",31/07/2015,,,visit to Folkestone,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,4.60,,
"Duffy, Mr. Philip",31/07/2015,,London Victoria,EXTERNAL MEETING,Rail,Standard,,,43.29,,Redfern
"Montgomery, Sir Charles Percival",31/07/2015,,,"Travel for DG meetings, visits and events between 03.06.15 and 29.06.15.  Included: visit to Gatwick; stakholder dinner; St Pancras for B5 meeting, Brussels; return from Turkey visit; to and from Board meeting; Plymouth; Frontex visit",Taxis,,,,486.58,,
"O'brien, Mr. John",31/07/2015,,,return journey Liverpool,T&S - Employee Reimbursed Mileage,,,,90.40,,
"Rapson, Ms. Sarah Oonagh",31/07/2015,,Folkestone Central,INTERNAL MEETING,Rail,Standard,,,78.03,,Redfern
"Sedwill, Mr. Mark",31/07/2015,,London Heathrow,CONFERENCE/EVENT,Air Tickets,Economy,,,159.36,,Redfern
"Arnott, Dr. Robert Henry",01/08/2015,,,Caledonian Rd to 2MS,Taxis,,,,23.00,,
"Arnott, Dr. Robert Henry",01/08/2015,,,2MS to Vict (late),Taxis,,,,9.00,,
"Rapson, Ms. Sarah Oonagh",02/08/2015,,Islamabad,EXTERNAL MEETING,Air Tickets,Pearl Business,,,"2,592.89",,Redfern
"Sedwill, Mr. Mark",02/08/2015,,,ESTA for Washington,Office Overheads (incl Printing & Publications),,,,9.17,,
"Cunningham, Mr. Michael Bernard",03/08/2015,,London Euston,INTERNAL MEETING,Rail,Standard,,,168.75,,Redfern
"Cunningham, Mr. Michael Bernard",03/08/2015,,Stafford,INTERNAL MEETING,Rail,Standard,,,105.31,,Redfern
"Duffy, Mr. Philip",03/08/2015,,,Rail Ticket,T&S - Hotels,,,,17.50,,
"Duffy, Mr. Philip",03/08/2015,,,Contacless travel for port visi tto Edinbrugh (Travel card accross London),"T&S - Planes, Trains and Automobiles",,,,2.30,,
"Duffy, Mr. Philip",03/08/2015,,Edinburgh,EXTERNAL MEETING,Air Tickets,Economy,,,224.82,,Redfern
"Duffy, Mr. Philip",03/08/2015,,Edinburgh,EXTERNAL MEETING,,,Hotel Room,,51.15,,Redfern
"Martin, Mr. Ian Richard",03/08/2015,,ZONE U12* LONDN,INTERNAL MEETING,Rail,Standard,,,38.67,,Redfern
"Montgomery, Sir Charles Percival",03/08/2015,,,Lunch on official visit to Birmingham on 03.08.15 using T&E contactless card,"T&S - Planes, Trains and Automobiles",,,,9.40,,
"Montgomery, Sir Charles Percival",03/08/2015,,Birmingham International,EXTERNAL MEETING,Rail,Standard,,,73.93,,Redfern
"Montgomery, Sir Charles Percival",03/08/2015,,London Euston,EXTERNAL MEETING,Rail,Standard,,,94.40,,Redfern
"Rapson, Ms. Sarah Oonagh",03/08/2015,,,overseas visit,Taxis,,,,26.26,,
"Sedwill, Mr. Mark",03/08/2015,,W'Ington Dulles,CONFERENCE/EVENT,Air Tickets,World Traveller Plus,,,"4,998.08",,Redfern
"Storr, Mr. Peter Richard",03/08/2015,,,Washington with Permanent Secretary,T&S - Overseas Expenses,,,,35.00,,
"Storr, Mr. Peter Richard",03/08/2015,,W'Ington Dulles,EXTERNAL MEETING,Air Tickets,Business,,,"4,998.08",,Redfern
"Arnott, Dr. Robert Henry",04/08/2015,,London St Pancras,EXTERNAL MEETING,Air Tickets,Standard,,,168.72,,Redfern
"Cunningham, Mr. Michael Bernard",04/08/2015,,London Euston,INTERNAL MEETING,Rail,Standard,,,207.78,,Redfern
"Duffy, Mr. Philip",04/08/2015,,,Contactless Payment for travel accross London back for port vist from Edinbrugh,"T&S - Planes, Trains and Automobiles",,,,2.30,,
"Morrison, Mr. Paul Noble Wilson",04/08/2015,,Liverpool Lime Street,INTERNAL MEETING,Rail,Standard,,,145.13,,Redfern
"Arnott, Dr. Robert Henry",05/08/2015,,,Calais Joint Dec,T&S - Overseas Expenses,Standard/Economy,,,78.00,,
"Arnott, Dr. Robert Henry",05/08/2015,,Paris C.d Gaull,EXTERNAL MEETING,Air Tickets,Economy,,,0.00,,Redfern
"Arnott, Dr. Robert Henry",05/08/2015,,Paris Gare Du Nord,EXTERNAL MEETING,Air Tickets,Standard,,,262.27,,Redfern
"Campbell, Ms. Mandie Jane",05/08/2015,,,"tube to Paddington, for visit to Plymouth","T&S - Planes, Trains and Automobiles",Standard/Economy,,,2.30,,
"Oppenheim, Mr. Jeremy",05/08/2015,,,sandwiches for senior officials from teh police and OGDs at the HO to discuss proposals in relation to CSA for the Spending Review bid.,"Canteens, Lunches, Vending",,,,35.74,,
"Williams, Mr. Glyn",05/08/2015,,,Oyster card used from East Croydon to London Victoria,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,3.10,,
"Arnott, Dr. Robert Henry",06/08/2015,,,JD FCO lunch,"Canteens, Lunches, Vending",,,,67.45,,
"Campbell, Ms. Mandie Jane",06/08/2015,,,return from visit to Plymouth,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,1.50,,
"Martin, Mr. Ian Richard",06/08/2015,,,Visited Solihull office and then onto Stone Road Initial Accommodation Centre. Public transport rate claimed only - could have used public transport but timings were uncertain.,T&S - Employee Reimbursed Mileage,,,,39.98,,
"Montgomery, Sir Charles Percival",06/08/2015,,,Lunch on work visit to NMIC and Cutters in Portsmouth on 06.08.15,"T&S - Planes, Trains and Automobiles",,,,4.20,,
"Montgomery, Sir Charles Percival",06/08/2015,,Cosham,EXTERNAL MEETING,Rail,Standard,,,12.55,,Redfern
"Montgomery, Sir Charles Percival",06/08/2015,,Winchester,EXTERNAL MEETING,Rail,Standard,,,12.55,,Redfern
"Arnott, Dr. Robert Henry",07/08/2015,,,Joint Dec negotiation,T&S - Overseas Expenses,,,,208.86,,
"Duffy, Mr. Philip",07/08/2015,,Gatwick Airport,CONFERENCE/EVENT,Rail,Standard,,,6.76,,Redfern
"Duffy, Mr. Philip",07/08/2015,,Gatwick Airport,EXTERNAL MEETING,Rail,Standard,,,40.56,,Redfern
"Hepple, Mr. Tyson Julian",07/08/2015,,Winchester,EXTERNAL MEETING,Rail,Standard,,,20.37,,Redfern
"Oppenheim, Mr. Jeremy",07/08/2015,,,travel from home to St Pancras for official journey to Dover (UAScs seeking asylum at KIU),Taxis,,,,22.00,,
"Oppenheim, Mr. Jeremy",07/08/2015,,,taxi from Kent CC to Ebbsfleet for train to St Pancras following series of meetings to discuss UASCs claiming asylum at KIU,Taxis,,,,34.65,,
"Oppenheim, Mr. Jeremy",07/08/2015,,Dover Stns,EXTERNAL MEETING,Rail,Standard,,,83.88,,Redfern
"Sedwill, Mr. Mark",07/08/2015,,,parking at bristol aiport,"T&S - Planes, Trains and Automobiles",,,,26.05,,
"Sedwill, Mr. Mark",07/08/2015,,,Travel to Bristol Airport,T&S - Employee Reimbursed Mileage,,,,32.00,,
"Sedwill, Mr. Mark",07/08/2015,,Paris C.d Gaull,CONFERENCE/EVENT,Air Tickets,Economy,,,298.72,,Redfern
"Wood, Mr. David Leonard",07/08/2015,,,Meetings with Crime and Intelligence in Croydon,T&S - Employee Reimbursed Mileage,,,,10.00,,
"Duffy, Mr. Philip",08/08/2015,,,Taxi fair,T&S - Hotels,,,,18.00,,
"Duffy, Mr. Philip",08/08/2015,,,Port vist (Return from night shift),"T&S - Planes, Trains and Automobiles",Standard/Economy,,,13.15,,
"Storr, Mr. Peter Richard",08/08/2015,,,Washington with Permanent Secretary,T&S - Overseas Expenses,,,,52.54,,
"Arnott, Dr. Robert Henry",10/08/2015,,,FCO to Australia Hse,Taxis,,,,8.50,,
"Arnott, Dr. Robert Henry",10/08/2015,,,Australia Hse to 2MS,Taxis,,,,10.00,,
"Cunningham, Mr. Michael Bernard",10/08/2015,,London Euston,INTERNAL MEETING,Rail,Standard,,,334.63,,Redfern
"Martin, Mr. Ian Richard",10/08/2015,,ZONE U12* LONDN,INTERNAL MEETING,Rail,Standard,,,38.67,,Redfern
"Campbell, Ms. Mandie Jane",11/08/2015,,,mileage (13miles x.40) plus congestion charge. 5am visit to Wormwood scrubs,"T&S - Planes, Trains and Automobiles",,,,16.70,,
"Montgomery, Sir Charles Percival",11/08/2015,,,Dinner entitlement in hotel in Catania (34 Euros) during second work visit to Cutters on 11-12.08.15 following other expenses on visit.,"T&S - Planes, Trains and Automobiles",,,,6.93,,
"Montgomery, Sir Charles Percival",11/08/2015,,,Lunch and refreshment whilst travelling on visit to Italy using T&E contactless card,"T&S - Planes, Trains and Automobiles",,,,8.88,,
"Montgomery, Sir Charles Percival",11/08/2015,,Catania,EXTERNAL MEETING,Air Tickets,Economy,,,304.55,,Redfern
"Montgomery, Sir Charles Percival",11/08/2015,,Gatwick Airport,EXTERNAL MEETING,Rail,Standard,,,45.74,,Redfern
"Duffy, Mr. Philip",12/08/2015,,Leeds,CONFERENCE/EVENT,Rail,Standard,,,138.34,,Redfern
"Martin, Mr. Ian Richard",12/08/2015,,ZONE U12* LONDN,INTERNAL MEETING,Rail,Standard,,,38.67,,Redfern
"Montgomery, Sir Charles Percival",12/08/2015,,,Refreshment on flight from Italy to UK following official visit on 12.08.15.  Used T&E contactless card,"T&S - Planes, Trains and Automobiles",,,,3.60,,
"Montgomery, Sir Charles Percival",12/08/2015,,,Hotel accommodation and bottle of water (minibar) during stay in Italy for work visit,T&S - Hotels,,,,108.60,,
"Montgomery, Sir Charles Percival",12/08/2015,,,Refreshment during travel back from Italy using T&E contactless card,"T&S - Planes, Trains and Automobiles",,,,4.35,,
"Montgomery, Sir Charles Percival",12/08/2015,,London Blackfriars,EXTERNAL MEETING,Rail,Standard,,,11.79,,Redfern
"Montgomery, Sir Charles Percival",12/08/2015,,London Luton,EXTERNAL MEETING,Web Transaction,Economy,,,150.11,,Redfern
"Beecroft, Mr. Martin Richard",13/08/2015,,,Visit to CTS team,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,4.20,,
"Martin, Mr. Ian Richard",13/08/2015,,ZONE U12* LONDN,INTERNAL MEETING,Rail,Standard,,,38.67,,Redfern
"Oppenheim, Mr. Jeremy",14/08/2015,,,personal mobile used for business calls. 70% of bill claimed,Miscellaneous,,,,31.57,,
"Driskell, Mr. Norman",17/08/2015,,,HM Treasury Meeting,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,4.60,,
"Hills, Mr. Gareth David",17/08/2015,,Cardiff,EXTERNAL MEETING,,,Hotel Minimum- Two Twin Beds,,76.86,,Redfern
"Hills, Mr. Gareth David",17/08/2015,,Cardiff Central,EXTERNAL MEETING,Rail,Standard,,,113.12,,Redfern
"Hills, Mr. Gareth David",17/08/2015,,Cardiff Queen Street,EXTERNAL MEETING,Rail,Standard,,,3.48,,Redfern
"Martin, Mr. Ian Richard",17/08/2015,,,Car parking at Peterborough to catch train to visit Leeds office.  Hard copy receipt held.,"T&S - Planes, Trains and Automobiles",,,,13.00,,
"Martin, Mr. Ian Richard",17/08/2015,,,Travelled to Peterborough to catch train to Leeds.  No public transport route availablem in reasonable timescale for day visit.86,T&S - Employee Reimbursed Mileage,,,,34.40,,
"Martin, Mr. Ian Richard",17/08/2015,,Leeds,INTERNAL MEETING,Rail,Standard,,,66.19,,Redfern
"Calam, Ms. Mary-Jane",18/08/2015,,Maidstone East,EXTERNAL MEETING,Rail,Standard,,,24.64,,Redfern
"Driskell, Mr. Norman",18/08/2015,,,GaaP Work planning - Sheffield,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,7.50,,
"Driskell, Mr. Norman",18/08/2015,,,Gaap Planning work - Sheffield,Taxis,,,,13.00,,
"Driskell, Mr. Norman",18/08/2015,,Sheffield,EXTERNAL MEETING,Rail,Standard,,,86.13,,Redfern
"Hills, Mr. Gareth David",18/08/2015,,London Paddington,EXTERNAL MEETING,Rail,Standard,,,43.68,,Redfern
"Martin, Mr. Ian Richard",18/08/2015,,ZONE U12* LONDN,INTERNAL MEETING,Rail,Standard,,,38.67,,Redfern
"Storr, Mr. Peter Richard",18/08/2015,,,over 10 hr subsistence for trip to Berlin,T&S - Subsistence,,,,46.16,,
"Storr, Mr. Peter Richard",18/08/2015,,Berlin Tegel,EXTERNAL MEETING,Air Tickets,Economy,,,526.96,,Redfern
"Storr, Mr. Peter Richard",18/08/2015,,HEATHROW TERM 5,EXTERNAL MEETING,Rail,Standard,,,35.88,,Redfern
"Storr, Mr. Peter Richard",18/08/2015,,Tegel,EXTERNAL MEETING,,,Hotel (Foreign) Standard,,90.59,,Redfern
"Storr, Mr. Peter Richard",18/08/2015,,,EXTERNAL MEETING,,,Hotel Fee ,,1.41,,Redfern
"Arnott, Dr. Robert Henry",19/08/2015,,,Joint Dec,T&S - Overseas Expenses,Standard/Economy,,,39.00,,
"Arnott, Dr. Robert Henry",19/08/2015,,Calais,EXTERNAL MEETING,,,Hotel (Foreign) Room,,100.50,,Redfern
"Arnott, Dr. Robert Henry",19/08/2015,,Calais,EXTERNAL MEETING,Air Tickets,Standard,,,143.56,,Redfern
"Arnott, Dr. Robert Henry",19/08/2015,,Lille,EXTERNAL MEETING,,,Hotel (Foreign) Room,,83.39,,Redfern
"Arnott, Dr. Robert Henry",19/08/2015,,,EXTERNAL MEETING,,,Hotel Fee ,,1.41,,Redfern
"Driskell, Mr. Norman",19/08/2015,,,Visit to Mike Bracken - GDS,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,2.30,,
"Duffy, Mr. Philip",19/08/2015,,,Tain ticket return Lille /Calais,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,18.70,,
"Duffy, Mr. Philip",19/08/2015,,,Contacless paymet for travel accross london. Port visit to Calais,"T&S - Planes, Trains and Automobiles",,,,2.30,,
"Duffy, Mr. Philip",19/08/2015,,Calais,EXTERNAL MEETING,,,Hotel (Foreign) Room,,76.94,,Redfern
"Duffy, Mr. Philip",19/08/2015,,Lille Europe,EXTERNAL MEETING,Air Tickets,Standard,,,143.56,,Redfern
"Duffy, Mr. Philip",19/08/2015,,,EXTERNAL MEETING,,,Hotel Fee ,,1.41,,Redfern
"Wood, Mr. David Leonard",19/08/2015,,,Visit to Leeds,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,1.20,,
"Wood, Mr. David Leonard",19/08/2015,,,Visit to Criminal Casework in Leeds,T&S - Subsistence,,,,9.30,,
"Wood, Mr. David Leonard",19/08/2015,,Leeds,EXTERNAL MEETING,Rail,Standard,,,134.83,,Redfern
"Arnott, Dr. Robert Henry",20/08/2015,,London St Pancras,EXTERNAL MEETING,Rail,Standard,,,39.68,,Redfern
"Duffy, Mr. Philip",20/08/2015,,,Port vist retun journey,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,33.20,,
"Duffy, Mr. Philip",20/08/2015,,Tilbury Town,EXTERNAL MEETING,Rail,Standard,,,13.50,,Redfern
"Shipley, Mr. Gordon Michael",20/08/2015,,HEATHROW TERM 5,EXTERNAL MEETING,Rail,Standard,,,22.69,,Redfern
"Storr, Mr. Peter Richard",20/08/2015,,London St Pancras,EXTERNAL MEETING,Rail,Standard,,,6.76,,Redfern
"Wood, Mr. David Leonard",20/08/2015,,,"Meeting with the Algerian Ambassador, near Regent StreetBus to meeting, tube return to Victoria","T&S - Planes, Trains and Automobiles",Standard/Economy,,,3.65,,
"Campbell, Ms. Mandie Jane",21/08/2015,,,return from visit to Albania,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,3.10,,
"Duffy, Mr. Philip",21/08/2015,,,Contacless payment for travel accross London. Port visit to Stanstesd,"T&S - Planes, Trains and Automobiles",,,,4.30,,
"Duffy, Mr. Philip",21/08/2015,,Stansted Airport,EXTERNAL MEETING,Rail,Standard,,,6.75,,Redfern
"Hills, Mr. Gareth David",21/08/2015,,Durham,EXTERNAL MEETING,Rail,Standard,,,172.97,,Redfern
"Storr, Mr. Peter Richard",23/08/2015,,,24 Subsistence for trip to Luxembourg,T&S - Subsistence,,,,87.12,,
"Duffy, Mr. Philip",24/08/2015,,,Dinner in PlymouthThe Waterfront,T&S - Subsistence,,,,23.10,,
"Duffy, Mr. Philip",24/08/2015,,,Contact less payment for travel accross London. Port visit to Plymouth(outbound),"T&S - Planes, Trains and Automobiles",,,,2.30,,
"Duffy, Mr. Philip",24/08/2015,,Plymouth,EXTERNAL MEETING,,,Hotel Room,,66.80,,Redfern
"Duffy, Mr. Philip",24/08/2015,,Plymouth,EXTERNAL MEETING,Rail,Standard,,,116.38,,Redfern
"Martin, Mr. Ian Richard",24/08/2015,,ZONE U12* LONDN,INTERNAL MEETING,Rail,Standard,,,38.67,,Redfern
"Duffy, Mr. Philip",25/08/2015,,,Contactless Payment for travel accross London. Port visit to Plymonth (Return),"T&S - Planes, Trains and Automobiles",,,,2.30,,
"Sutton, Mr. Kenneth David",25/08/2015,,Sevenoaks,EXTERNAL MEETING,Rail,Standard,,,15.04,,Redfern
"Calam, Ms. Mary-Jane",26/08/2015,,,Travel Home to Suffolk for Force Visit,T&S - Employee Reimbursed Mileage,,,,52.00,,
"Calam, Ms. Mary-Jane",26/08/2015,,,Travel from Suffolk to Norfolk for Force Visit,T&S - Employee Reimbursed Mileage,,,,23.60,,
"Calam, Ms. Mary-Jane",26/08/2015,,Norwich,EXTERNAL MEETING,,,Hotel Room,,73.84,,Redfern
"Calam, Ms. Mary-Jane",27/08/2015,,,Travel from Norfolk to Home,T&S - Employee Reimbursed Mileage,,,,60.80,,
"Driskell, Mr. Norman",27/08/2015,,,Visit to Aviation House.,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,4.60,,
"Martin, Mr. Ian Richard",27/08/2015,,ZONE U12* LONDN,INTERNAL MEETING,Rail,Standard,,,38.67,,Redfern
"Beecroft, Mr. Martin Richard",28/08/2015,,Sheffield,INTERNAL MEETING,Rail,Standard,,,24.64,,Redfern
"Driskell, Mr. Norman",28/08/2015,,,Meetings in Croydon.,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,6.20,,
"Duffy, Mr. Philip",28/08/2015,,,Contactless payment Travel accross London Meeting at Customs House,"T&S - Planes, Trains and Automobiles",,,,4.60,,
"Montgomery, Sir Charles Percival",28/08/2015,,,"Travel for DG for events, meetings and visits between 10.07.15 and 30.07.15.  Included; BF/NCA Away Day; visits to Brussels, Heathrow and Italy; BF away day; meeting at NCA",Taxis,,,,268.06,,
"Storr, Mr. Peter Richard",29/08/2015,,,"EU Minister Meeting with Home Secretary, Paris",T&S - Overseas Expenses,,,,26.50,,
"Storr, Mr. Peter Richard",29/08/2015,,London Heathrow,EXTERNAL MEETING,Air Tickets,Business,,,263.18,,Redfern
"Storr, Mr. Peter Richard",29/08/2015,,Paris C.d Gaull,EXTERNAL MEETING,Air Tickets,Business,,,416.30,,Redfern
"Cunningham, Mr. Michael Bernard",01/09/2015,,London Euston,INTERNAL MEETING,Rail,Standard,,,334.63,,Redfern
"Driskell, Mr. Norman",01/09/2015,,,Digital Hub launch day - Sheffield,Taxis,,,,5.00,,
"Driskell, Mr. Norman",01/09/2015,,,Digital Hub launch day - Sheffield,Taxis,,,,5.00,,
"Driskell, Mr. Norman",01/09/2015,,London St Pancras,INTERNAL MEETING,Rail,Standard,,,55.01,,Redfern
"Driskell, Mr. Norman",01/09/2015,,Sheffield,INTERNAL MEETING,Rail,Standard,,,54.72,,Redfern
"Otter, Mr. Stephen Anthony",01/09/2015,,London Paddington,INTERNAL MEETING,Rail,Standard,,,60.55,,Redfern
"Shipley, Mr. Gordon Michael",02/09/2015,,Cardiff Central,EXTERNAL MEETING,Rail,Standard,,,91.98,,Redfern
"Calam, Ms. Mary-Jane",03/09/2015,,,"Travel from Google Offices, St Giles High St WC2H 8AG to 2MS",Taxis,,,,5.00,,
"Martin, Mr. Ian Richard",03/09/2015,,ZONE U12* LONDN,INTERNAL MEETING,Rail,Standard,,,38.67,,Redfern
"Otter, Mr. Stephen Anthony",03/09/2015,,Exeter St Davids,EXTERNAL MEETING,Rail,Standard,,,29.51,,Redfern
"Shipley, Mr. Gordon Michael",03/09/2015,,Edinburgh,EXTERNAL MEETING,Air Tickets,Economy,,,76.97,,Redfern
"Shipley, Mr. Gordon Michael",03/09/2015,,,EXTERNAL MEETING,Other Fee,,,,68.17,,Redfern
"Storr, Mr. Peter Richard",03/09/2015,,,Renew second passport,T&S - Subsistence,,,,128.00,,
"Sutton, Mr. Kenneth David",03/09/2015,,London Zones 1-4,EXTERNAL MEETING,Rail,Standard,,,14.56,,Redfern
"Sutton, Mr. Kenneth David",03/09/2015,,York,EXTERNAL MEETING,Rail,Standard,,,220.01,,Redfern
"Shipley, Mr. Gordon Michael",04/09/2015,,HEATHROW TERM 5,EXTERNAL MEETING,Rail,Standard,,,22.69,,Redfern
"Sutton, Mr. Kenneth David",04/09/2015,,,Meetings in Liverpool,T&S - Subsistence,,,,9.05,,
"Sutton, Mr. Kenneth David",04/09/2015,,,Meetings in Liverpool,Taxis,,,,5.00,,
"Sutton, Mr. Kenneth David",04/09/2015,,Liverpool Lime Street,EXTERNAL MEETING,Rail,Standard,,,302.96,,Redfern
"Sutton, Mr. Kenneth David",04/09/2015,,London St Pancras,EXTERNAL MEETING,Rail,Standard,,,14.56,,Redfern
"Calam, Ms. Mary-Jane",07/09/2015,,,Travel from Coventry Rail Station to Chesford Grange Hotel for Police Supers Annual Conf,Taxis,,,,21.00,,
"Calam, Ms. Mary-Jane",07/09/2015,,,Travel from Chesford Grange Hotel to Coventry Rail Station,Taxis,,,,21.00,,
"Calam, Ms. Mary-Jane",07/09/2015,,Coventry,EXTERNAL MEETING,Rail,Standard,,,34.89,,Redfern
"Duffy, Mr. Philip",07/09/2015,,Leeds,CONFERENCE/EVENT,Rail,Standard,,,35.39,,Redfern
"Duffy, Mr. Philip",07/09/2015,,Newcastle,CONFERENCE/EVENT,Rail,Standard,,,52.56,,Redfern
"Duffy, Mr. Philip",07/09/2015,,Newcastle,CONFERENCE/EVENT,,,Hotel Standard- One- Queen Size,,83.90,,Redfern
"Eastaugh, Mr. Tony",07/09/2015,,London,CONFERENCE/EVENT,,,Hotel Room,,101.40,,Redfern
