Name,Start date of trip,Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accomodation/Meals,Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (œ)",Total Cost of Use of Official Secure Car,Booked through
"Ind, Mr. Hugh Timothy",25/01/2017,,,Golden Thread Conference - Sheffield,T&S - Hotels,,,,20.00,,
"Ind, Mr. Hugh Timothy",25/01/2017,,,Sheffield - Golden Thread Conference,"T&S - Planes, Trains and Automobiles",,,,4.00,,
"Lamberti, Mr. David James",25/01/2017,,Leatherhead,EXTERNAL MEETING,Rail,Standard,,,21.20,,Redfern
"Lloyd, Ms. Myrtle",25/01/2017,,,Tube fare from hotel to 2MS,"T&S - Planes, Trains and Automobiles",,,,2.40,,
"Lloyd, Ms. Myrtle",25/01/2017,,,Overnight in London - dinner.,T&S - Subsistence,,,,26.00,,
"Morrison, Mr. Paul Noble Wilson",25/01/2017,,,peak hour trip to course,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,21.50,,
"O'brien, Mr. John",25/01/2017,,,Cardiff office visit,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,41.00,,
"Riach, Ms. Shona",25/01/2017,,Malta,EXTERNAL MEETING,Air Tickets,Economy,,,242.92,,Redfern
"Riach, Ms. Shona",25/01/2017,,Malta,EXTERNAL MEETING,Air Tickets,Premium Economy,,,230.14,,Redfern
"Sedwill, Mr. Mark",25/01/2017,,Leatherhead,EXTERNAL MEETING,Rail,Standard,,,16.40,,Redfern
"Spencer, Dr. Fiona Margaret",25/01/2017,,,Project X Event,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,14.10,,
"Spencer, Dr. Fiona Margaret",25/01/2017,,,Project X Event,Taxis,,,,8.00,,
"Spencer, Dr. Fiona Margaret",25/01/2017,,Slough,EXTERNAL MEETING,Rail,Standard,,,5.00,,Redfern
"Sutton, Mr. Kenneth David",25/01/2017,,Manchester Piccadilly,EXTERNAL MEETING,Rail,Standard,,,83.90,,Redfern
"O'brien, Mr. John",25/01/2017,,,Cardiff office,T&S - Subsistence,,,,30.25,,
"Cunningham, Mr. Michael Bernard",26/01/2017,,London Waterloo,EXTERNAL MEETING,Rail,Standard,,,12.60,,Redfern
"Freston, Mrs. Penny",26/01/2017,,,Subsistence,T&S - Hotels,,,,94.40,,
"Hayes, Mr. Simon Thomas",26/01/2017,,,Travel from St Pancras,"T&S - Planes, Trains and Automobiles",,,,2.40,,
"Ind, Mr. Hugh Timothy",26/01/2017,,,SCS Conference - London,"T&S - Planes, Trains and Automobiles",,,,9.50,,
"Leach, Mrs. Paula Michelle",26/01/2017,,,Travel for meeting,Taxis,,,,12.60,,
"Lloyd, Ms. Myrtle",26/01/2017,,,Tube fare from hotel to Holborn Tube station (SCS Conference),"T&S - Planes, Trains and Automobiles",,,,2.40,,
"Lloyd, Ms. Myrtle",26/01/2017,,,Taxi from railway station to home. No suitable public transport.,Taxis,,,,7.70,,
"Morrison, Mr. Paul Noble Wilson",26/01/2017,,,from course location to station,Taxis,,,,15.00,,
"Morrison, Mr. Paul Noble Wilson",26/01/2017,,,off peak return from course,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,6.10,,
"O'brien, Mr. John",26/01/2017,,,Cardiff office,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,39.00,,
"Riach, Ms. Shona",26/01/2017,,,Accomodation for JHA Council in Malta,T&S - Hotels,,,,240.17,,
"Wilkinson, Ms. Patsy",26/01/2017,,,Taxi from SCS Conference to 2 Marsham St,Taxis,,,,11.20,,
"Williams, Mr. Glyn",26/01/2017,,,Travelling to work event,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,2.40,,
"Freston, Mrs. Penny",27/01/2017,,,Subsistence,T&S - Hotels,,,,79.06,,
"Freston, Mrs. Penny",27/01/2017,,,Subsistence,T&S - Hotels,,,,16.31,,
"Freston, Mrs. Penny",27/01/2017,,,official travel - Aus,Taxis,,,,11.15,,
"Oppenheim, Mr. Jeremy",27/01/2017,,,Riverbus from Westminster Pier to London Bridge to attend an external meeting with Ofcom.,"T&S - Planes, Trains and Automobiles",,,,6.30,,
"Riach, Ms. Shona",27/01/2017,,,Travel home from Malta,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,22.00,,
"Riach, Ms. Shona",27/01/2017,,,Travel to airport from JHA Council,Taxis,,,,21.37,,
"Williams, Ms. Wendy",27/01/2017,,Newcastle,EXTERNAL MEETING,Rail,Standard,,,66.00,,Redfern
"Freston, Mrs. Penny",28/01/2017,,,Subsistence,T&S - Hotels,,,,59.00,,
"Freston, Mrs. Penny",28/01/2017,,,official travel in aus,Taxis,,,,14.16,,
"Freston, Mrs. Penny",29/01/2017,,,Subsistence,T&S - Hotels,,,,29.50,,
"Montgomery, Sir Charles Percival",29/01/2017,,HEATHROW TERM 5,EXTERNAL MEETING,Rail,Standard,,,26.00,,Redfern
"Montgomery, Sir Charles Percival",29/01/2017,,London Paddington,EXTERNAL MEETING,Rail,Standard,,,36.10,,Redfern
"Montgomery, Sir Charles Percival",29/01/2017,,Sydney,EXTERNAL MEETING,Air Tickets,Business,,,2.46,,Redfern
"Freston, Mrs. Penny",30/01/2017,,,daily subsistence rate,T&S - Hotels,,,,43.07,,
"Lloyd, Ms. Myrtle",30/01/2017,,,INTERNAL MEETING,Billback Fee,,,,0.60,,Redfern
"Montgomery, Sir Charles Percival",30/01/2017,,Sydney,EXTERNAL MEETING,Air Tickets,Business,,,"5,910.27",,Redfern
"Parsons, Mr. Michael John",30/01/2017,,Oxford,EXTERNAL MEETING,Rail,Standard,,,24.00,,Redfern
"Riach, Ms. Shona",30/01/2017,,,Travel from airport to Hotel,Taxis,,,,59.83,,
"Riach, Ms. Shona",30/01/2017,,Amsterdam,EXTERNAL MEETING,,,Hotel (Foreign) Superior Room,,84.06,,Redfern
"Riach, Ms. Shona",30/01/2017,,,EXTERNAL MEETING,Billback Fee,,,,0.60,,Redfern
"Williams, Ms. Wendy",30/01/2017,,London Kings Cross,EXTERNAL MEETING,Rail,Standard,,,132.50,,Redfern
"Cunningham, Mr. Michael Bernard",31/01/2017,,London Heathrow,EXTERNAL MEETING,,,Hotel Standard- One- King Size,,129.60,,Redfern
"Foy, Mr. Timothy John",31/01/2017,,,Overnight stay necessary,T&S - Hotels,,,,144.00,,
"Foy, Mr. Timothy John",31/01/2017,,,24 Hours subsistence,T&S - Subsistence,,,,26.00,,
"Foy, Mr. Timothy John",31/01/2017,,,Cheapest route,T&S - Employee Reimbursed Mileage,,,,177.60,,
"Lloyd, Ms. Myrtle",31/01/2017,,,Taxi from home to railway station,Taxis,,,,7.70,,
"Lloyd, Ms. Myrtle",31/01/2017,,,Taxi from railway station to home,Taxis,,,,7.70,,
"Lloyd, Ms. Myrtle",31/01/2017,,,Left home @ 0600,T&S - Subsistence,,,,4.25,,
"Lloyd, Ms. Myrtle",31/01/2017,,ZONE U1* LONDN,INTERNAL MEETING,Rail,Standard,,,277.00,,Redfern
"Montgomery, Sir Charles Percival",31/01/2017,,,"Meal at C - Seafood Bar, Canberra","Canteens, Lunches, Vending",,,,45.10,,
"Montgomery, Sir Charles Percival",31/01/2017,,,EXTERNAL MEETING,Billback Fee,,,,0.60,,Redfern
"Riach, Ms. Shona",31/01/2017,,,Travel from hotel to the Europol Management Board meeting,Taxis,,,,13.68,,
"Riach, Ms. Shona",31/01/2017,,,Taxi from the Europol Mangement Board to the station,Taxis,,,,17.82,,
"Riach, Ms. Shona",31/01/2017,,,Train ticket to the airport,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,8.03,,
"Riach, Ms. Shona",31/01/2017,,,Lunch at Europol,T&S - Subsistence,,,,4.26,,
"Foy, Mr. Timothy John",01/02/2017,,,24 Hours,T&S - Subsistence,,,,26.00,,
"Foy, Mr. Timothy John",01/02/2017,,,fron station to DBS,Taxis,,,,8.00,,
"Freston, Mrs. Penny",01/02/2017,,,Subsistence,T&S - Hotels,,,,79.65,,
"Montgomery, Sir Charles Percival",01/02/2017,,,Meal during overseas visit using Home Office worldwide subsistence rates for Canberra,"Canteens, Lunches, Vending",,,,45.10,,
"Oppenheim, Mr. Jeremy",01/02/2017,,,congestion charge incurred whilst driving from 2 Marsham Street to Euston for onward travel to Liverpool for an official visit.,"T&S - Planes, Trains and Automobiles",,,,10.50,,
"Oppenheim, Mr. Jeremy",01/02/2017,,,"Dinner at hotel. Please note subsequent entry (Line 4) includes refund of œ28.70, bringing cost of dinner within daily allowance (œ26).",T&S - Hotels,,,,50.00,,
"Oppenheim, Mr. Jeremy",01/02/2017,,Liverpool,EXTERNAL MEETING,,,Hotel Standard- One- King Size,,70.60,,Redfern
"Oppenheim, Mr. Jeremy",01/02/2017,,Liverpool Lime Street,EXTERNAL MEETING,Rail,Standard,,,220.90,,Redfern
"Owen, Mr. Marc",01/02/2017,,,Meetings in Croydon,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,7.60,,
"Spencer, Dr. Fiona Margaret",01/02/2017,,Cheltenham Spa,EXTERNAL MEETING,Rail,Standard,,,59.38,,Redfern
"Tribe, Mr. Lee Kelvin",01/02/2017,,,Shared taxi with Paul Butcher MPS. paid one way.,Taxis,,,,12.00,,
"Tribe, Mr. Lee Kelvin",01/02/2017,,Northampton,EXTERNAL MEETING,Rail,Standard,,,59.40,,Redfern
"Webb, Mr. Stephen",01/02/2017,,,Taxi from Guildford,Taxis,,,,8.00,,
"Webb, Mr. Stephen",01/02/2017,,Guildford Station,EXTERNAL MEETING,Rail,Standard,,,24.10,,Redfern
"Foy, Mr. Timothy John",02/02/2017,,,DBS to station,Taxis,,,,8.00,,
"Freston, Mrs. Penny",02/02/2017,,,Subsistence,T&S - Hotels,,,,12.04,,
"Freston, Mrs. Penny",02/02/2017,,,official travel aus,Taxis,,,,40.95,,
"Hills, Mr. Gareth David",02/02/2017,,Weymouth,EXTERNAL MEETING,Rail,Standard,,,88.60,,Redfern
"Lloyd, Ms. Myrtle",02/02/2017,,,Taxi from home to railway station,Taxis,,,,7.70,,
"Lloyd, Ms. Myrtle",02/02/2017,,,Taxi from railway station to home,Taxis,,,,7.70,,
"Lloyd, Ms. Myrtle",02/02/2017,,ZONE U1* LONDN,INTERNAL MEETING,Rail,Standard,,,283.00,,Redfern
"Montgomery, Sir Charles Percival",02/02/2017,,,Research visit to Australia - Border counterparts,"Canteens, Lunches, Vending",,,,52.20,,
"Montgomery, Sir Charles Percival",02/02/2017,,Sydney,EXTERNAL MEETING,Air Tickets,Economy,,,231.60,,Redfern
"Montgomery, Sir Charles Percival",02/02/2017,,Sydney,EXTERNAL MEETING,,,Hotel (Foreign) Minimum One King Bed,,485.65,,Redfern
"Montgomery, Sir Charles Percival",02/02/2017,,,EXTERNAL MEETING,Billback Fee,,,,0.60,,Redfern
"Oppenheim, Mr. Jeremy",02/02/2017,,,car parking at London Euston whilst on an official visit to Liverpool.,"T&S - Planes, Trains and Automobiles",,,,28.00,,
"Oppenheim, Mr. Jeremy",02/02/2017,,,refund of part of cost of evening meal - see line 2..,T&S - Hotels,,,,-27.80,,
"Wilkinson, Ms. Patsy",02/02/2017,,,Taxi from Cabinet Office meeting to 2 Marsham St,Taxis,,,,5.60,,
"Williams, Ms. Wendy",02/02/2017,,Newcastle,EXTERNAL MEETING,Rail,Standard,,,90.50,,Redfern
"Montgomery, Sir Charles Percival",03/02/2017,,London Heathrow,EXTERNAL MEETING,Air Tickets,Business,,,"3,764.50",,Redfern
"Montgomery, Sir Charles Percival",04/02/2017,,London Heathrow,EXTERNAL MEETING,Air Tickets,,,,46.06,,Redfern
"Hills, Mr. Gareth David",05/02/2017,,,Car from home to Heathrow . Journey via car signficantly shorter (50 minutes) than multi stage public transport alternative especially on a Sunday. Also had a sprained ankle making travelling with large suitcase difficult.,T&S - Overseas Expenses,,,,82.50,,
"Hills, Mr. Gareth David",05/02/2017,,,"Dinner at Sheraton Hotel, Frankfurt. Hotel paid for. Travelling to Abuja via Frankfurt",T&S - Overseas Expenses,,,,20.97,,
"Hills, Mr. Gareth David",05/02/2017,,,Luggage charge at airport,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,12.00,,
"Hills, Mr. Gareth David",05/02/2017,,Frankfurt,EXTERNAL MEETING,Air Tickets,Economy,,,190.30,,Redfern
"Hills, Mr. Gareth David",05/02/2017,,Frankfurt,EXTERNAL MEETING,,,Hotel (Foreign) Superior,,119.40,,Redfern
"Hills, Mr. Gareth David",05/02/2017,,,EXTERNAL MEETING,Billback Fee,,,,0.60,,Redfern
"Dottridge, Mr. Adrian Yme",06/02/2017,,,Official photos needed for Visa application for official travel,Office Overheads (incl Printing & Publications),,,,10.00,,
"Dottridge, Mr. Adrian Yme",06/02/2017,,,Indian visa application,Office Overheads (incl Printing & Publications),,,,329.94,,
"Dottridge, Mr. Adrian Yme",06/02/2017,,,Taxi - Indian high Commission to VFS Global offices to collect Indian visa prior to travel.  No public transport was available.,Taxis,,,,10.00,,
"Dottridge, Mr. Adrian Yme",06/02/2017,,,London to paddington,"T&S - Planes, Trains and Automobiles",,,,6.60,,
"Dottridge, Mr. Adrian Yme",06/02/2017,,,Heathrow express for flight to India,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,37.00,,
"Dottridge, Mr. Adrian Yme",06/02/2017,,,public transport not avaliable- taxi from vfs vac to Indian Embassy,Taxis,,,,10.00,,
"Dottridge, Mr. Adrian Yme",06/02/2017,,Delhi,EXTERNAL MEETING,Air Tickets,Business,,,"1,873.87",,Redfern
"Eastaugh, Mr. Tony",06/02/2017,,Durham,EXTERNAL MEETING,Rail,Standard,,,266.01,,Redfern
"Eastaugh, Mr. Tony",06/02/2017,,Newcastle,EXTERNAL MEETING,,,Hotel Room,,77.60,,Redfern
"Hills, Mr. Gareth David",06/02/2017,,,"Bon Hotel - 50,000 Naira at exchange rate of 394 Naira to the œ (no Naira option on Adelphi)",T&S - Overseas Expenses,,,,126.90,,
"Hills, Mr. Gareth David",06/02/2017,,,"Two days' residual rate of 27,529 Naira less 2 lunches, 2 breakfast, 1 dinner and 2 hotel to office (all paid by BHC or in room rate) = 14,303 at exchange rate of 394 Naira to the œ (no Naira option on Adelphi)",T&S - Overseas Expenses,,,,36.30,,
"Hills, Mr. Gareth David",06/02/2017,,Abuja,EXTERNAL MEETING,Air Tickets,Economy,,,"2,419.70",,Redfern
"Oppenheim, Mr. Jeremy",06/02/2017,,,taxi from Hof C to 2 Marsham Street with Offer Stern-Weiner and Helen Richardson,Taxis,,,,5.00,,
"Oppenheim, Mr. Jeremy",06/02/2017,,,taxi from House of Commons following meeting with the Home Secretary,Taxis,,,,16.95,,
"Oppenheim, Mr. Jeremy",06/02/2017,,Istanbul,EXTERNAL MEETING,Air Tickets,Economy,,,232.60,,Redfern
"Owen, Mr. Marc",06/02/2017,,,Taxi from Madrid airport to hotel - no other means of transportation (late at night),Taxis,,,,34.81,,
"Wilkinson, Ms. Patsy",06/02/2017,,,Taxi from Institute of Directors event to home,Taxis,,,,12.50,,
"Williams, Mr. Glyn",06/02/2017,,,Business,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,5.10,,
"Williams, Mr. Glyn",06/02/2017,,,Business,T&S - Overseas Expenses,,,,5.00,,
"Williams, Mr. Glyn",06/02/2017,,,Business,T&S - Overseas Expenses,,,,1.00,,
"Williams, Ms. Wendy",06/02/2017,,Bristol,EXTERNAL MEETING,Web Transaction,Premium Economy,,,138.79,,Redfern
"Cunningham, Mr. Michael Bernard",07/02/2017,,London Euston,EXTERNAL MEETING,Rail,Standard,,,352.00,,Redfern
"Cunningham, Mr. Michael Bernard",07/02/2017,,London Heathrow,EXTERNAL MEETING,,,Hotel Standard- One- King Size,,129.60,,Redfern
"Dottridge, Mr. Adrian Yme",07/02/2017,,,Hotel accommodation in IndiaOutside limit as hotel was outside the UK.,T&S - Hotels,,,,273.91,,
"Eastaugh, Mr. Tony",07/02/2017,,London,EXTERNAL MEETING,,,Hotel Room,,93.57,,Redfern
"Hills, Mr. Gareth David",07/02/2017,,,"Sheraton Hotel, Abuja. 2 Maximum hotel room rates of 79,560 Naira (actual cost was 84,600 Naira plus 5% VAT) at exchange rate of 394 Naira to the œ (no Naira option on Adelphi)",T&S - Overseas Expenses,,,,403.86,,
"Lloyd, Ms. Myrtle",07/02/2017,,,Parking for 3 days.,"T&S - Planes, Trains and Automobiles",,,,19.70,,
"Lloyd, Ms. Myrtle",07/02/2017,,ZONE U1* LONDN,INTERNAL MEETING,Rail,Standard,,,251.00,,Redfern
"Oppenheim, Mr. Jeremy",07/02/2017,,,2 days car hire (7 8 Feb) from Enterprise 98 miles driven,T&S - Subsistence,,,,72.58,,
"Oppenheim, Mr. Jeremy",07/02/2017,,,annual renewal of senior railcard used throughout the year to obtain cheaper train travel.,T&S - Subsistence,,,,30.00,,
"Oppenheim, Mr. Jeremy",07/02/2017,,,standard ticket purchased via Redfern. Upgrade ticket to first class purchased on train as no standard class accommodation available.,"T&S - Planes, Trains and Automobiles",First,,,54.50,,
"Oppenheim, Mr. Jeremy",07/02/2017,,Bath Spa,EXTERNAL MEETING,Rail,Standard,,,63.70,,Redfern
"Owen, Mr. Marc",07/02/2017,,,Taxi from hotel to Madrid airport - no other means of transportation (early morning),Taxis,,,,34.81,,
"Sedwill, Mr. Mark",07/02/2017,,Cheltenham Spa,EXTERNAL MEETING,Rail,Standard,,,185.00,,Redfern
"Spencer, Dr. Fiona Margaret",07/02/2017,,,"PLP Cohort 7 Module 4 Event, Cranfield",Taxis,,,,20.00,,
"Spencer, Dr. Fiona Margaret",07/02/2017,,Milton Keynes Central,EXTERNAL MEETING,Rail,Standard,,,21.00,,Redfern
"Spencer, Dr. Fiona Margaret",07/02/2017,,St Albans Station,EXTERNAL MEETING,Rail,Standard,,,13.30,,Redfern
"Hills, Mr. Gareth David",08/02/2017,,,"Dinner and drinks on 8/2 (9,534.5 + 1,315.5) at exchange rate of 394 Naira to œ (no Naira option on Adelphi)",T&S - Overseas Expenses,,,,27.54,,
"Leach, Mrs. Paula Michelle",08/02/2017,,,too and from meeting location,Taxis,,,,10.00,,
"Lloyd, Ms. Myrtle",08/02/2017,,,Rail station car park full - premium rate for parking @ nearby car park,"T&S - Planes, Trains and Automobiles",,,,20.80,,
"Lloyd, Ms. Myrtle",08/02/2017,,,Tube fare,"T&S - Planes, Trains and Automobiles",,,,2.40,,
"Lloyd, Ms. Myrtle",08/02/2017,,,Food and drink - over 24 hours,T&S - Subsistence,,,,26.00,,
"Lloyd, Ms. Myrtle",08/02/2017,,London Heathrow,INTERNAL MEETING,,,Hotel Room,,127.33,,Redfern
"Lloyd, Ms. Myrtle",08/02/2017,,ZONE U1* LONDN,INTERNAL MEETING,Rail,Standard,,,363.00,,Redfern
"Oppenheim, Mr. Jeremy",08/02/2017,,,In Wiltshire from the evening of 7 February until the morning of 9 February. This receipt coverst the period from 7 - 8 February,T&S - Subsistence,,,,26.00,,
"Owen, Mr. Marc",08/02/2017,,,two nights in Madrid for Ralon conference,T&S - Hotels,,,,224.64,,
"Williams, Mr. Glyn",08/02/2017,,,Business,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,19.90,,
"Williams, Ms. Wendy",08/02/2017,,Newcastle,EXTERNAL MEETING,Rail,Standard,,,53.00,,Redfern
"Arnott, Dr. Robert Henry",09/02/2017,,,London Br to Moorgate (Reform Conf; tube suspended),Taxis,,,,12.00,,
"Dottridge, Mr. Adrian Yme",09/02/2017,,,Tube journey Paddington to Waterloo,"T&S - Planes, Trains and Automobiles",,,,2.40,,
"Hayes, Mr. Simon Thomas",09/02/2017,,,Food - subsistence,"T&S - Planes, Trains and Automobiles",,,,50.00,,
"Hayes, Mr. Simon Thomas",09/02/2017,,,Food - subsistence,"T&S - Planes, Trains and Automobiles",,,,6.65,,
"Hayes, Mr. Simon Thomas",09/02/2017,,,TRAVEL,"T&S - Planes, Trains and Automobiles",,,,5.10,,
"Hayes, Mr. Simon Thomas",09/02/2017,,,Food - subsistence,"T&S - Planes, Trains and Automobiles",,,,6.10,,
"Hayes, Mr. Simon Thomas",09/02/2017,,Liverpool,EXTERNAL MEETING,,,Hotel Room,,69.60,,Redfern
"Hayes, Mr. Simon Thomas",09/02/2017,,Liverpool Lime Street,EXTERNAL MEETING,Rail,Standard,,,84.90,,Redfern
"Hills, Mr. Gareth David",09/02/2017,,,Return ticket back to London,"T&S - Planes, Trains and Automobiles",,,,22.00,,
"Hills, Mr. Gareth David",09/02/2017,,London Heathrow,EXTERNAL MEETING,Air Tickets,World Traveller Plus,,,"2,672.50",,Redfern
"Lloyd, Ms. Myrtle",09/02/2017,,,Tube fare,"T&S - Planes, Trains and Automobiles",,,,2.40,,
"O'brien, Mr. John",09/02/2017,,,Exeter office,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,39.00,,
"Oppenheim, Mr. Jeremy",09/02/2017,,,taxi from London City Airport to home (after 21:00: on return from official visit to Scotland,Taxis,,,,25.00,,
"Oppenheim, Mr. Jeremy",09/02/2017,,,travelled to Scotland from Wiltshire for series of meetings with Scottish Government officials. This receiot covers the perod from teh evening of 8 Februarfy to the evening of 9 February.,T&S - Subsistence,,,,26.00,,
"Oppenheim, Mr. Jeremy",09/02/2017,,,tram far from/to Edinburgh Airport to city centre for external meetings with Scottish Government officials.,"T&S - Planes, Trains and Automobiles",,,,8.50,,
"Oppenheim, Mr. Jeremy",09/02/2017,,Edinburgh,EXTERNAL MEETING,Web Transaction,Premium Economy,,,129.78,,Redfern
"Oppenheim, Mr. Jeremy",09/02/2017,,London City,EXTERNAL MEETING,Air Tickets,Economy,,,129.26,,Redfern
"Webb, Mr. Stephen",09/02/2017,,,Taxi from Bridgend station to South Wales Police HQ,Taxis,,,,5.00,,
"Webb, Mr. Stephen",09/02/2017,,Bridgend,EXTERNAL MEETING,Rail,Standard,,,111.00,,Redfern
"Webb, Mr. Stephen",09/02/2017,,Cardiff Central,EXTERNAL MEETING,Rail,Standard,,,6.00,,Redfern
"Webb, Mr. Stephen",09/02/2017,,London Paddington,EXTERNAL MEETING,Rail,Standard,,,45.20,,Redfern
"Williams, Ms. Wendy",09/02/2017,,Birmingham New St,EXTERNAL MEETING,Rail,Standard,,,130.40,,Redfern
"Williams, Ms. Wendy",09/02/2017,,Newcastle,EXTERNAL MEETING,Rail,Standard,,,108.40,,Redfern
"O'brien, Mr. John",09/02/2017,,,Exeter office,T&S - Subsistence,,,,26.00,,
"Hayes, Mr. Simon Thomas",10/02/2017,,,TRAVEL,"T&S - Planes, Trains and Automobiles",,,,2.40,,
"Hepple, Mr. Tyson Julian",10/02/2017,,,TRAVEL,"T&S - Planes, Trains and Automobiles",,,,3.00,,
"Hepple, Mr. Tyson Julian",10/02/2017,,Manchester Piccadilly,EXTERNAL MEETING,Rail,Standard,,,154.95,,Redfern
"O'brien, Mr. John",10/02/2017,,,Exeter office,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,39.00,,
"Cunningham, Mr. Michael Bernard",13/02/2017,,,EXTERNAL MEETING,Billback Fee,,,,0.60,,Redfern
"Lloyd, Ms. Myrtle",13/02/2017,,,Overnight parking @ Radisson Blu Durham,"T&S - Planes, Trains and Automobiles",,,,8.00,,
"Lloyd, Ms. Myrtle",13/02/2017,,Newcastle,INTERNAL MEETING,,,Hotel Room,,77.60,,Redfern
"Lloyd, Ms. Myrtle",13/02/2017,,,INTERNAL MEETING,Billback Fee,,,,0.60,,Redfern
"Wilkinson, Ms. Patsy",13/02/2017,,,Taxi from accommodation in Sheffield to Vulcan Building in Sheffiel,Taxis,,,,6.00,,
"Wilkinson, Ms. Patsy",13/02/2017,,London St Pancras,EXTERNAL MEETING,Rail,Standard,,,91.50,,Redfern
"Williams, Mr. Glyn",13/02/2017,,,Business,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,2.40,,
"Williams, Mr. Glyn",13/02/2017,,,Business,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,2.40,,
"Williams, Mr. Glyn",13/02/2017,,,Hospitality,Conferences (& Hospitality),,,,420.00,,
"Williams, Mr. Glyn",13/02/2017,,Sheffield,EXTERNAL MEETING,Rail,Standard,,,89.50,,Redfern
"Williams, Ms. Wendy",13/02/2017,,London Kings Cross,EXTERNAL MEETING,Rail,Standard,,,132.50,,Redfern
"Cunningham, Mr. Michael Bernard",14/02/2017,,,EXTERNAL MEETING,Billback Fee,,,,0.60,,Redfern
"Foy, Mr. Timothy John",14/02/2017,,,overnight stay,T&S - Hotels,,,,78.99,,
"Foy, Mr. Timothy John",14/02/2017,,,Over 24 hours,T&S - Subsistence,,,,26.00,,
"Foy, Mr. Timothy John",14/02/2017,,,Cheapest way of getting there,T&S - Employee Reimbursed Mileage,,,,177.60,,
"Lloyd, Ms. Myrtle",14/02/2017,,,Petrol for hire car.,"T&S - Planes, Trains and Automobiles",,,,41.54,,
"Lloyd, Ms. Myrtle",14/02/2017,,,lunch,T&S - Subsistence,,,,3.50,,
"Montgomery, Sir Charles Percival",14/02/2017,,,Visit to WICU - tube from Paddington to St James' Park,"T&S - Planes, Trains and Automobiles",,,,3.90,,
"Montgomery, Sir Charles Percival",14/02/2017,,London Paddington,EXTERNAL MEETING,Rail,Standard,,,22.50,,Redfern
"O'brien, Mr. John",14/02/2017,,,ESMT meeting,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,82.90,,
"O'brien, Mr. John",14/02/2017,,,Tube to St Pancras,"T&S - Planes, Trains and Automobiles",,,,2.40,,
"Oppenheim, Mr. Jeremy",14/02/2017,,,breakfast meeting with Andriana Naidoo,"Canteens, Lunches, Vending",,,,35.44,,
"Parr, Mr. Matthew",14/02/2017,,Leeds,EXTERNAL MEETING,Rail,Standard,,,128.00,,Redfern
"Sutton, Mr. Kenneth David",14/02/2017,,Warrington Bank Quay,EXTERNAL MEETING,Rail,Standard,,,370.00,,Redfern
"O'brien, Mr. John",14/02/2017,,,ESMT and stakeholder event,T&S - Subsistence,,,,52.00,,
"Cunningham, Mr. Michael Bernard",15/02/2017,,London Liverpool Street,EXTERNAL MEETING,Rail,Standard,,,97.60,,Redfern
"Cunningham, Mr. Michael Bernard",15/02/2017,,Preston,EXTERNAL MEETING,Rail,Standard,,,6.00,,Redfern
"Foy, Mr. Timothy John",15/02/2017,,,away for over 10 hours,T&S - Subsistence,,,,9.30,,
"Foy, Mr. Timothy John",15/02/2017,,,Car parking at DBS,"T&S - Planes, Trains and Automobiles",,,,8.00,,
"Ind, Mr. Hugh Timothy",15/02/2017,,,Lunch with Iranian Ambassador to London at Iranian Embassy,"T&S - Planes, Trains and Automobiles",,,,4.80,,
"Lloyd, Ms. Myrtle",15/02/2017,,,Taxi from home to railway station,Taxis,,,,7.70,,
"Lloyd, Ms. Myrtle",15/02/2017,,,Taxi from railway station to home,Taxis,,,,7.80,,
"Lloyd, Ms. Myrtle",15/02/2017,,ZONE U1* LONDN,INTERNAL MEETING,Rail,Standard,,,251.00,,Redfern
"Clarke, Mr. Richard William John",16/02/2017,,,official visit,Taxis,,,,26.25,,
"Clarke, Mr. Richard William John",16/02/2017,,,official visit,Taxis,,,,21.16,,
"Clarke, Mr. Richard William John",16/02/2017,,Edinburgh,EXTERNAL MEETING,Web Transaction,Premium Economy,,,91.58,,Redfern
"Clarke, Mr. Richard William John",16/02/2017,,Gatwick Airport,EXTERNAL MEETING,Rail,Standard,,,22.50,,Redfern
"Eastaugh, Mr. Tony",16/02/2017,,Birmingham,EXTERNAL MEETING,,,Hotel Standard Two Double Beds,,79.60,,Redfern
"Lloyd, Ms. Myrtle",16/02/2017,,,lunch and dinner,T&S - Subsistence,,,,26.00,,
"Lloyd, Ms. Myrtle",16/02/2017,,Leeds/Bradford,INTERNAL MEETING,,,Hotel Room,,85.60,,Redfern
